arm,representation,target,readout,population,rows,sources,mse,rmse
A-observed,descriptor,relaxed_angular,ridge,PTM_crystalline,274,13,0.40982684739914543,0.6401771999994575
A-observed,descriptor,relaxed_angular,ridge,T400,192,3,0.9726836027588782,0.9862472320665231
A-observed,descriptor,relaxed_angular,ridge,T450,192,3,0.7003769559126587,0.8368852704598514
A-observed,descriptor,relaxed_angular,ridge,T500,192,3,0.6845181584567233,0.8273561255328465
A-observed,descriptor,relaxed_angular,ridge,T510,192,3,0.6835657523769444,0.8267803531633685
A-observed,descriptor,relaxed_angular,ridge,T520,192,3,0.922305237956683,0.9603672411930152
A-observed,descriptor,relaxed_angular,residual,all,960,15,0.7926899414923776,0.8903313661173449
A-observed,descriptor,relaxed_angular,residual,PTM_other,686,15,1.006772176886186,1.0033803749756052
A-observed,descriptor,relaxed_angular,residual,PTM_crystalline,274,13,0.40982684739914543,0.6401771999994575
A-observed,descriptor,relaxed_angular,residual,T400,192,3,0.9726836027588782,0.9862472320665231
A-observed,descriptor,relaxed_angular,residual,T450,192,3,0.7003769559126587,0.8368852704598514
A-observed,descriptor,relaxed_angular,residual,T500,192,3,0.6845181584567233,0.8273561255328465
A-observed,descriptor,relaxed_angular,residual,T510,192,3,0.6835657523769444,0.8267803531633685
A-observed,descriptor,relaxed_angular,residual,T520,192,3,0.922305237956683,0.9603672411930152
A-observed,descriptor,relaxed_l6,ridge,all,960,15,0.2545809886464274,0.5045601932836432
A-observed,descriptor,relaxed_l6,ridge,PTM_other,686,15,0.3108614171787883,0.5575494750950701
A-observed,descriptor,relaxed_l6,ridge,PTM_crystalline,274,13,0.13753941715705104,0.3708630706299173
A-observed,descriptor,relaxed_l6,ridge,T400,192,3,0.2932575617734199,0.541532604534039
A-observed,descriptor,relaxed_l6,ridge,T450,192,3,0.23040052560986368,0.4800005475099624
A-observed,descriptor,relaxed_l6,ridge,T500,192,3,0.23257816826815986,0.482263587955964
A-observed,descriptor,relaxed_l6,ridge,T510,192,3,0.22166984510428592,0.47081827184624636
A-observed,descriptor,relaxed_l6,ridge,T520,192,3,0.2949988424764075,0.5431379589721266
A-observed,descriptor,relaxed_l6,residual,all,960,15,0.2545809886464274,0.5045601932836432
A-observed,descriptor,relaxed_l6,residual,PTM_other,686,15,0.3108614171787883,0.5575494750950701
A-observed,descriptor,relaxed_l6,residual,PTM_crystalline,274,13,0.13753941715705104,0.3708630706299173
A-observed,descriptor,relaxed_l6,residual,T400,192,3,0.2932575617734199,0.541532604534039
A-observed,descriptor,relaxed_l6,residual,T450,192,3,0.23040052560986368,0.4800005475099624
A-observed,descriptor,relaxed_l6,residual,T500,192,3,0.23257816826815986,0.482263587955964
A-observed,descriptor,relaxed_l6,residual,T510,192,3,0.22166984510428592,0.47081827184624636
A-observed,descriptor,relaxed_l6,residual,T520,192,3,0.2949988424764075,0.5431379589721266
