contrast,arm,representation,target,readout,reference_arm,reference_representation,reference,candidate,change_percent,ci95_lower,ci95_upper,roots,roots_improved
training,C-relaxed-teacher,exported,observed_radial,ridge,C-relaxed-teacher,initial_exported,0.07301909446085562,0.11285297228393182,54.55268668722055,45.03417086006507,65.95735809349843,15,0
relaxed_teacher,C-relaxed-teacher,exported,observed_radial,ridge,A-observed,exported,0.11261108370991199,0.11285297228393182,0.21479996999489437,-1.9101448768770455,2.6206618250529155,15,9
training,C-relaxed-teacher,exported,observed_radial,residual,C-relaxed-teacher,initial_exported,0.07301909446085562,0.1128443378910824,54.54086184481029,44.970434192468446,66.00247103273531,15,0
relaxed_teacher,C-relaxed-teacher,exported,observed_radial,residual,A-observed,exported,0.11242407554107423,0.1128443378910824,0.3738188177092372,-1.4342195331164924,2.391699292623238,15,9
training,C-relaxed-teacher,exported,relaxed_angular,ridge,C-relaxed-teacher,initial_exported,0.8273083356270926,0.834455700380919,0.8639299818499646,0.06698559029188313,1.7777335338896803,15,5
relaxed_teacher,C-relaxed-teacher,exported,relaxed_angular,ridge,A-observed,exported,0.8345421898963097,0.834455700380919,-0.0103637079632235,-0.2969983508736479,0.3201909145824105,15,8
training,C-relaxed-teacher,exported,relaxed_angular,residual,C-relaxed-teacher,initial_exported,0.8295865177336906,0.8373399418528265,0.9346130817454723,0.11801381411143065,1.79420965975516,15,5
relaxed_teacher,C-relaxed-teacher,exported,relaxed_angular,residual,A-observed,exported,0.8382762825865266,0.8373399418528265,-0.11169834494315634,-0.45735281057209837,0.32151045996464284,15,10
training,C-relaxed-teacher,exported,relaxed_l6,ridge,C-relaxed-teacher,initial_exported,0.23132060897849024,0.23428100426219653,1.2797801703788414,0.24297142728061163,2.304291077423113,15,6
relaxed_teacher,C-relaxed-teacher,exported,relaxed_l6,ridge,A-observed,exported,0.23585626176038052,0.23428100426219653,-0.6678887753187479,-1.0012247314402594,-0.31952892876363026,15,13
training,C-relaxed-teacher,exported,relaxed_l6,residual,C-relaxed-teacher,initial_exported,0.23147572960039867,0.2340206629541081,1.0994385277898422,-0.00302475707822214,2.1900500857741707,15,6
relaxed_teacher,C-relaxed-teacher,exported,relaxed_l6,residual,A-observed,exported,0.23571134380611314,0.2340206629541081,-0.7172674953632052,-1.0734120195534063,-0.3370652218485315,15,13
training,C-relaxed-teacher,exported,relaxed_radial,ridge,C-relaxed-teacher,initial_exported,0.5359195423742134,0.5431700068253,1.3529016723230258,-0.16449208327915937,2.60998386883192,15,4
relaxed_teacher,C-relaxed-teacher,exported,relaxed_radial,ridge,A-observed,exported,0.5450057772096256,0.5431700068253,-0.3368350320476554,-1.057610902478725,0.3054408263802432,15,9
training,C-relaxed-teacher,exported,relaxed_radial,residual,C-relaxed-teacher,initial_exported,0.5354395743378116,0.5431700068253,1.4437544137541058,0.21720396424154298,2.599890431115489,15,4
relaxed_teacher,C-relaxed-teacher,exported,relaxed_radial,residual,A-observed,exported,0.5450057772096256,0.5431700068253,-0.3368350320476554,-1.057610902478725,0.3054408263802432,15,9
training,C-relaxed-teacher,pooled,current_order,ridge,C-relaxed-teacher,initial_pooled,0.4223509254274546,0.42127886685590615,-0.25383123535563934,-1.3740863351335564,0.755558136888623,15,8
relaxed_teacher,C-relaxed-teacher,pooled,current_order,ridge,A-observed,pooled,0.4170714429640407,0.42127886685590615,1.008801720387309,0.6243199254236798,1.344630379314303,15,3
training,C-relaxed-teacher,pooled,current_order,residual,C-relaxed-teacher,initial_pooled,0.41429124823591196,0.4139626960369992,-0.07930464384940938,-1.434270436982308,1.3062598648409043,15,5
relaxed_teacher,C-relaxed-teacher,pooled,current_order,residual,A-observed,pooled,0.4115200821527123,0.4139626960369992,0.5935588541655878,0.22006907301896694,0.9382602167587287,15,5
training,C-relaxed-teacher,pooled,future_order_12,ridge,C-relaxed-teacher,initial_pooled,0.5747376563125856,0.5721839777200245,-0.4443207373856506,-0.8843296248019189,0.0009282374501050337,15,9
relaxed_teacher,C-relaxed-teacher,pooled,future_order_12,ridge,A-observed,pooled,0.5726964987947115,0.5721839777200245,-0.08949261533214292,-0.20466633551964708,0.03812385948424419,15,11
persistence,C-relaxed-teacher,pooled,future_order_12,ridge,C-relaxed-teacher,persistence,0.8955950880579524,0.5721839777200245,-36.11130907821599,-39.57720223313521,-32.13352715248242,15,15
training,C-relaxed-teacher,pooled,future_order_12,residual,C-relaxed-teacher,initial_pooled,0.5747376563125856,0.5721839777200245,-0.4443207373856506,-0.8843296248019189,0.0009282374501050337,15,9
relaxed_teacher,C-relaxed-teacher,pooled,future_order_12,residual,A-observed,pooled,0.5726964987947115,0.5721839777200245,-0.08949261533214292,-0.20466633551964708,0.03812385948424419,15,11
persistence,C-relaxed-teacher,pooled,future_order_12,residual,C-relaxed-teacher,persistence,0.8955950880579524,0.5721839777200245,-36.11130907821599,-39.57720223313521,-32.13352715248242,15,15
training,C-relaxed-teacher,pooled,future_order_3,ridge,C-relaxed-teacher,initial_pooled,0.5694825079387519,0.5622915847886046,-1.262711856800458,-1.6517126137138742,-0.8553375420594107,15,12
relaxed_teacher,C-relaxed-teacher,pooled,future_order_3,ridge,A-observed,pooled,0.5663382448336188,0.5622915847886046,-0.7145305975588934,-1.041969138180011,-0.3860056249618963,15,12
persistence,C-relaxed-teacher,pooled,future_order_3,ridge,C-relaxed-teacher,persistence,0.8318929066854726,0.5622915847886046,-32.40817654895578,-35.18986787274441,-28.85878402539625,15,15
training,C-relaxed-teacher,pooled,future_order_3,residual,C-relaxed-teacher,initial_pooled,0.5686721772566808,0.5622915847886046,-1.1220159387534512,-2.0170736551347948,-0.34135673803440403,15,12
relaxed_teacher,C-relaxed-teacher,pooled,future_order_3,residual,A-observed,pooled,0.5663382448336188,0.5622915847886046,-0.7145305975588934,-1.041969138180011,-0.3860056249618963,15,12
persistence,C-relaxed-teacher,pooled,future_order_3,residual,C-relaxed-teacher,persistence,0.8318929066854726,0.5622915847886046,-32.40817654895578,-35.18986787274441,-28.85878402539625,15,15
training,C-relaxed-teacher,pooled,future_order_9,ridge,C-relaxed-teacher,initial_pooled,0.5561327655802475,0.5525502563385575,-0.6441823721629047,-1.1634561286235676,-0.22742212028815081,15,11
relaxed_teacher,C-relaxed-teacher,pooled,future_order_9,ridge,A-observed,pooled,0.5527803488013382,0.5525502563385575,-0.04162457353624749,-0.1719439703925127,0.09502033063667865,15,8
persistence,C-relaxed-teacher,pooled,future_order_9,ridge,C-relaxed-teacher,persistence,0.8820290234427766,0.5525502563385575,-37.35464007955003,-39.548835777561344,-34.44366964258827,15,15
training,C-relaxed-teacher,pooled,future_order_9,residual,C-relaxed-teacher,initial_pooled,0.5474979868260305,0.5540950896165181,1.2049547120223325,0.6217282461348372,1.7943464168049397,15,4
relaxed_teacher,C-relaxed-teacher,pooled,future_order_9,residual,A-observed,pooled,0.5544793885268312,0.5540950896165181,-0.06930806054561423,-0.263531501584017,0.1243626068002483,15,8
persistence,C-relaxed-teacher,pooled,future_order_9,residual,C-relaxed-teacher,persistence,0.8820290234427766,0.5540950896165181,-37.17949467765261,-39.41999166958682,-34.20710131508625,15,15
training,C-relaxed-teacher,pooled,observed_angular,ridge,C-relaxed-teacher,initial_pooled,0.9070896658447932,0.9087594887303484,0.18408575782857817,-1.3634627085614586,1.6695920766240948,15,7
relaxed_teacher,C-relaxed-teacher,pooled,observed_angular,ridge,A-observed,pooled,0.9060305081907639,0.9087594887303484,0.30120183756658925,-0.18616809830416495,0.8078112255062498,15,8
training,C-relaxed-teacher,pooled,observed_angular,residual,C-relaxed-teacher,initial_pooled,0.9172804920220357,0.9133058837260687,-0.4333034802915581,-2.0644915571155877,1.0631392604129042,15,9
relaxed_teacher,C-relaxed-teacher,pooled,observed_angular,residual,A-observed,pooled,0.9092072934899017,0.9133058837260687,0.45078721491937923,-0.11065327789034379,1.0088762168021435,15,7
training,C-relaxed-teacher,pooled,observed_l6,ridge,C-relaxed-teacher,initial_pooled,0.2667400208803157,0.2658068842343686,-0.3498300115848618,-1.9373673092707766,1.289366602100467,15,7
relaxed_teacher,C-relaxed-teacher,pooled,observed_l6,ridge,A-observed,pooled,0.2674291431626155,0.2658068842343686,-0.6066126186032306,-1.4555502504228146,0.10120401088741814,15,8
training,C-relaxed-teacher,pooled,observed_l6,residual,C-relaxed-teacher,initial_pooled,0.26701686887549164,0.2662894968931953,-0.27240675293646044,-1.7658559525810216,1.2007956425576192,15,9
relaxed_teacher,C-relaxed-teacher,pooled,observed_l6,residual,A-observed,pooled,0.2685060682264469,0.2662894968931953,-0.8255200144609898,-1.686280590718292,-0.13255598506208857,15,10
training,C-relaxed-teacher,pooled,observed_radial,ridge,C-relaxed-teacher,initial_pooled,0.07853586311299222,0.08453850655837668,7.64318772017345,2.6431111962027214,12.840318316992875,15,3
relaxed_teacher,C-relaxed-teacher,pooled,observed_radial,ridge,A-observed,pooled,0.08581284288402216,0.08453850655837668,-1.4850181893726222,-2.9068612382696273,-0.022129849983109785,15,12
training,C-relaxed-teacher,pooled,observed_radial,residual,C-relaxed-teacher,initial_pooled,0.07649401778387986,0.08201004234710738,7.211053521612709,2.523277015496476,12.299149880891173,15,3
relaxed_teacher,C-relaxed-teacher,pooled,observed_radial,residual,A-observed,pooled,0.08374446966646815,0.08201004234710738,-2.071094755592262,-3.7184184813069847,-0.33133709716225956,15,11
training,C-relaxed-teacher,pooled,relaxed_angular,ridge,C-relaxed-teacher,initial_pooled,0.8247209106988156,0.8339785578727241,1.1225187883334042,-0.13413115512545007,2.3713397166414456,15,5
relaxed_teacher,C-relaxed-teacher,pooled,relaxed_angular,ridge,A-observed,pooled,0.8326554809699627,0.8339785578727241,0.15889847998360462,-0.5424726869686222,0.869342123421456,15,7
