arm,checkpoint,domain,block,population,rows,sources,mse
D-physical-distance,last,relaxed,l2,T450,192,3,0.7410343084614699
D-physical-distance,last,relaxed,l2,T500,192,3,0.7455141137428049
D-physical-distance,last,relaxed,l2,T510,192,3,0.6298852463993776
D-physical-distance,last,relaxed,l2,T520,192,3,0.9480459543386436
D-physical-distance,last,relaxed,l4,all,960,15,0.4390518639892737
D-physical-distance,last,relaxed,l4,PTM_other,686,15,0.5512645285766017
D-physical-distance,last,relaxed,l4,PTM_crystalline,274,13,0.19604018438865073
D-physical-distance,last,relaxed,l4,T400,192,3,0.5018207436660305
D-physical-distance,last,relaxed,l4,T450,192,3,0.422488106817885
D-physical-distance,last,relaxed,l4,T500,192,3,0.39426173891843064
D-physical-distance,last,relaxed,l4,T510,192,3,0.35890612703951774
D-physical-distance,last,relaxed,l4,T520,192,3,0.5177826035045048
D-physical-distance,last,relaxed,block_mean,all,960,15,0.46790199511306124
D-physical-distance,last,relaxed,block_mean,PTM_other,686,15,0.624591888365784
D-physical-distance,last,relaxed,block_mean,PTM_crystalline,274,13,0.12828940281307583
D-physical-distance,last,relaxed,block_mean,T400,192,3,0.532457030727528
D-physical-distance,last,relaxed,block_mean,T450,192,3,0.44582805372071255
D-physical-distance,last,relaxed,block_mean,T500,192,3,0.43359654233790934
D-physical-distance,last,relaxed,block_mean,T510,192,3,0.3792158206621631
D-physical-distance,last,relaxed,block_mean,T520,192,3,0.5484125281169933
D-physical-distance,constant,relaxed,radial,all,960,15,1.0329565036731463
D-physical-distance,constant,relaxed,radial,PTM_other,686,15,1.2039605042821142
D-physical-distance,constant,relaxed,radial,PTM_crystalline,274,13,0.6272439378759782
D-physical-distance,constant,relaxed,radial,T400,192,3,1.1561987514141947
D-physical-distance,constant,relaxed,radial,T450,192,3,1.0627729133702815
D-physical-distance,constant,relaxed,radial,T500,192,3,0.9450158327817917
D-physical-distance,constant,relaxed,radial,T510,192,3,0.8967818483555068
D-physical-distance,constant,relaxed,radial,T520,192,3,1.1040131724439561
D-physical-distance,constant,relaxed,l2,all,960,15,1.0919960155307005
D-physical-distance,constant,relaxed,l2,PTM_other,686,15,1.450211281726022
D-physical-distance,constant,relaxed,l2,PTM_crystalline,274,13,0.26168850916928177
