source,temperature_K,frame,field,distance_lo_A,distance_hi_A,pairs,distance_mean_A,p1,p2,shuffle_p1,shuffle_p2,excess_p1,excess_p2,overlap80,valid_centers,centers
1009,520.0,512,block1/axial_bivector,12,18,2273,13.328857750780896,0.012842691345798744,0.013275697999544492,-0.0027366924650008835,-0.0004440237461447256,0.015579383810799634,0.013719721745689223,0.006439727232732072,319,320
1009,520.0,512,block1/axial_bivector,18,26,681,22.727692922910574,0.011298529079166546,0.014322470215606236,-0.003049120404204656,-0.00068966741156583,0.014347649483371217,0.015012137627172066,0.0,319,320
1009,520.0,512,block1/axial_bivector,26,40,4165,34.16861485691815,-0.019903210349881417,0.000956649702533937,-0.0027593846367031643,-0.0003317700168020447,-0.01714382571317824,0.0012884197193359782,0.0,319,320
1009,520.0,512,block1/axial_bivector,40,80,29408,52.960592150972694,-0.005865028930212735,-0.0006378382066677558,-0.0026005722084302928,-0.0009437429385092585,-0.00326445672178243,0.00030590473184150327,0.0,319,320
1009,520.0,512,block1/point_numerator,0,4,1249,3.0175216979725468,0.19328049947423093,0.05462924281791351,0.0001722517677469147,0.004223012257581223,0.193108247706484,0.050406230560332284,0.6827061649319456,318,320
1009,520.0,512,block1/point_numerator,4,8,6351,6.281705749439886,-0.02246526502216071,0.005767059943747985,-0.002118858789524365,0.003853241574473949,-0.020346406232636338,0.001913818369274035,0.36873917493308145,318,320
1009,520.0,512,block1/point_numerator,8,12,6421,9.928974503693723,-0.016226767654060198,0.0033351867516797458,-0.0026391607186396415,0.0036384552850618106,-0.013587606935420552,-0.0003032685333820669,0.11381015418159166,318,320
1009,520.0,512,block1/point_numerator,12,18,2239,13.329388647469768,0.0008444330795972341,0.016685763981750815,-0.002638860184842952,0.0036659422865431817,0.003483293264440187,0.013019821695207642,0.00648168825368468,318,320
1009,520.0,512,block1/point_numerator,18,26,683,22.724872865695296,0.05102999289536618,-0.002584897421855691,-0.0017005418851123299,0.004081664485620325,0.052730534780478525,-0.006666561907476014,0.0,318,320
1009,520.0,512,block1/point_numerator,26,40,4129,34.14486823644616,-0.0012014251436780069,-0.013072804289271146,-0.002127833807019657,0.0036510868782197916,0.0009264086633416533,-0.01672389116749094,0.0,318,320
1009,520.0,512,block1/point_numerator,40,80,29249,53.00812316886765,-0.00526010395976014,0.0027347566998159635,-0.0033546518852900706,0.003867696067185981,-0.0019054520744700675,-0.0011329393673700176,0.0,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,0,4,1249,3.0175216979725468,0.17751952885409428,0.049528139910306634,1.2411467657363286e-05,0.003808175587883185,0.1775071173864369,0.04571996432242345,0.6827061649319456,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,4,8,6351,6.281705749439886,-0.02335402172413068,0.0055135056192739135,-0.0022156591537326755,0.0034213395101424433,-0.021138362570397997,0.0020921661091314694,0.36873917493308145,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,8,12,6421,9.928974503693723,-0.015365280151879466,0.0030254871498415895,-0.0027298760921270642,0.003208901336013256,-0.012635404059752393,-0.0001834141861716684,0.11381015418159166,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,12,18,2239,13.329388647469768,0.003243312693011551,0.017964635540325628,-0.002772804693258169,0.0032442608762851166,0.006016117386269726,0.014720374664040511,0.00648168825368468,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,18,26,683,22.724872865695296,0.04993021872675425,-0.0027995878314938313,-0.001802950809064068,0.0036673398581399436,0.05173316953581832,-0.006466927689633773,0.0,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,26,40,4129,34.14486823644616,-0.00036188554790604307,-0.012224693949145523,-0.002258002136591235,0.003214786412204322,0.0018961165886852034,-0.015439480361349846,0.0,318,320
1009,520.0,512,block2_mlp_input/ideal_bivector,40,80,29249,53.00812316886765,-0.005146657282111473,0.002124053983420958,-0.003543222031397189,0.003430794692583419,-0.0016034352507142747,-0.0013067407091624614,0.0,318,320
1009,520.0,512,block2_mlp_input/axial_bivector,0,4,1266,3.0174990047443693,-0.06248211525887407,-0.02271933251880825,-0.0034107884443745537,-0.0015866436199948003,-0.05907132681449951,-0.021132688898813447,0.682721169036335,320,320
