field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block2_mlp_input/point_numerator,FCC,12,18,excess_p1,10,0.02872203323680602,-0.0020019687449819145,0.05901093888604839
block2_mlp_input/point_numerator,FCC,12,18,excess_p2,10,0.0006305238341074605,-0.014164738824455434,0.015110186073651494
block2_mlp_input/point_numerator,FCC,18,26,p1,10,-0.020367955046474852,-0.045748082490907324,0.005012172397957615
block2_mlp_input/point_numerator,FCC,18,26,p2,10,0.008363313555632072,-0.006017539567041347,0.022448934187529374
block2_mlp_input/point_numerator,FCC,18,26,shuffle_p1,10,-0.0009691723250483333,-0.007552459855304991,0.005614442808837975
block2_mlp_input/point_numerator,FCC,18,26,shuffle_p2,10,0.0023692688064752927,0.0005685323899890671,0.00416879785475985
block2_mlp_input/point_numerator,FCC,18,26,excess_p1,10,-0.01939878272142652,-0.040814004612123846,0.0020164391692707993
block2_mlp_input/point_numerator,FCC,18,26,excess_p2,10,0.00599404474915678,-0.007992760013797688,0.01955107623411573
block2_mlp_input/point_numerator,FCC,26,40,p1,10,0.002839338761259984,-0.0019764833739256554,0.007655160896445623
block2_mlp_input/point_numerator,FCC,26,40,p2,10,0.0003104857192931272,-0.006024677054005999,0.006528181660185593
block2_mlp_input/point_numerator,FCC,26,40,shuffle_p1,10,-0.0009691723250483337,-0.007552459855304991,0.005614442808837975
block2_mlp_input/point_numerator,FCC,26,40,shuffle_p2,10,0.0023692688064752927,0.0005685323899890671,0.00416879785475985
block2_mlp_input/point_numerator,FCC,26,40,excess_p1,10,0.003808511086308321,-0.005527469560339547,0.01356938633340303
block2_mlp_input/point_numerator,FCC,26,40,excess_p2,10,-0.0020587830871821654,-0.008542851146742926,0.0043834350658767144
block2_mlp_input/point_numerator,FCC,40,80,p1,10,0.002395787235614782,-0.0028032801713279774,0.007070190033795998
block2_mlp_input/point_numerator,FCC,40,80,p2,10,-0.021118681100026983,-0.0457603469517857,0.0033030600956823627
block2_mlp_input/point_numerator,FCC,40,80,shuffle_p1,10,0.0009664069027962878,-0.006509945946289716,0.008143093240375104
block2_mlp_input/point_numerator,FCC,40,80,shuffle_p2,10,-0.015309124681865918,-0.034317480097131495,0.0036322741964133778
block2_mlp_input/point_numerator,FCC,40,80,excess_p1,10,0.0014293803328184968,-0.0050409437577145725,0.007899704423351566
block2_mlp_input/point_numerator,FCC,40,80,excess_p2,10,-0.0058095564181610704,-0.01172732773893191,0.00020783523633084895
block2_mlp_input/point_numerator,HCP,40,80,p1,10,0.013617978090670627,-0.06521692573751696,0.09245749471451892
block2_mlp_input/point_numerator,HCP,40,80,p2,10,-0.05351268135800562,-0.09921735848858607,-0.008186231224218585
block2_mlp_input/point_numerator,HCP,40,80,shuffle_p1,10,0.018392790447513786,-0.027898849388030954,0.0643085451366029
block2_mlp_input/point_numerator,HCP,40,80,shuffle_p2,10,-0.048234404042957944,-0.09447416503090572,-0.0019946430550102606
block2_mlp_input/point_numerator,HCP,40,80,excess_p1,10,-0.00477481235684316,-0.05208997024937015,0.0425285636853389
block2_mlp_input/point_numerator,HCP,40,80,excess_p2,10,-0.005278277315047682,-0.014780346464134465,0.004290150700049242
block1/point_numerator,FCC,4,8,p1,10,-0.001278020759795714,-0.004490959938871097,0.0018813334701004206
block1/point_numerator,FCC,4,8,p2,10,0.004889265069622295,0.0016649079488294915,0.008015352234508211
block1/point_numerator,FCC,4,8,shuffle_p1,10,0.008218169792486603,0.006060731187785665,0.010377587893413639
block1/point_numerator,FCC,4,8,shuffle_p2,10,0.00276591461626916,-0.00010793597966918759,0.005525818667896696
block1/point_numerator,FCC,4,8,excess_p1,10,-0.00949619055228232,-0.012705243633447005,-0.006287137471117636
block1/point_numerator,FCC,4,8,excess_p2,10,0.002123350453353135,0.0012208196694719058,0.003018824412219043
