task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,plus_gatr,911,400.0,0.1,w6,13431,0.8818385953627682,0.9414256790661032
structure,linear,plus_gatr,911,400.0,0.1,qbar6,13431,0.08931065874149692,0.2363553336651145
structure,linear,plus_gatr,911,400.0,0.1,q6_coherence,13431,0.11506655689388927,0.2796867605913576
structure,linear,plus_gatr,911,400.0,0.1,bond_order,13431,0.6306876490154998,0.7818340400744901
structure,linear,plus_gatr,911,400.0,0.1,angular_arrangement,13431,0.5498753651526836,0.8252979712638587
structure,linear,plus_gatr,913,400.0,0.1,q4,11219,0.7633276546559103,0.8448989307302719
structure,linear,plus_gatr,913,400.0,0.1,q6,11219,0.22411420509794783,0.46883306725310797
structure,linear,plus_gatr,913,400.0,0.1,w4,11219,0.5360848221810338,0.7145189952348846
structure,linear,plus_gatr,913,400.0,0.1,w6,11219,1.0667613082153689,1.0293600635205897
structure,linear,plus_gatr,913,400.0,0.1,qbar6,11219,0.06984091812998593,0.20303463450821171
structure,linear,plus_gatr,913,400.0,0.1,q6_coherence,11219,0.12170139500362813,0.30413820210350695
structure,linear,plus_gatr,913,400.0,0.1,bond_order,11219,0.4636383838806458,0.6630109717305254
structure,linear,plus_gatr,913,400.0,0.1,angular_arrangement,11219,0.43614490126514605,0.7542531642816
structure,linear,plus_gatr,938,450.0,0.1,q4,10713,1.8883015646016184,1.3471635105358934
structure,linear,plus_gatr,938,450.0,0.1,q6,10713,0.3084666734380581,0.5533101707913456
structure,linear,plus_gatr,938,450.0,0.1,w4,10713,2.6797260235213107,1.6320479698268333
structure,linear,plus_gatr,938,450.0,0.1,w6,10713,0.5108618944292564,0.7083241471819619
structure,linear,plus_gatr,938,450.0,0.1,qbar6,10713,0.1775261637185423,0.344674321476995
structure,linear,plus_gatr,938,450.0,0.1,q6_coherence,10713,0.15850638591955746,0.30677619376100695
structure,linear,plus_gatr,938,450.0,0.1,bond_order,10713,0.9538981176047239,0.9573589855658117
structure,linear,plus_gatr,938,450.0,0.1,angular_arrangement,10713,0.8102638059348969,0.9872689185839557
structure,linear,plus_gatr,942,450.0,0.1,q4,18952,0.40554558129116525,0.6211528106411476
structure,linear,plus_gatr,942,450.0,0.1,q6,18952,0.09388767752555745,0.2989398844217068
structure,linear,plus_gatr,942,450.0,0.1,w4,18952,0.47721400297844574,0.6820119560558205
structure,linear,plus_gatr,942,450.0,0.1,w6,18952,0.25351512420247935,0.4933391599659156
structure,linear,plus_gatr,942,450.0,0.1,qbar6,18952,0.06223118377443159,0.15644052039069942
structure,linear,plus_gatr,942,450.0,0.1,q6_coherence,18952,0.06859037876176284,0.16765122627601994
structure,linear,plus_gatr,942,450.0,0.1,bond_order,18952,0.22683065808897368,0.45392735720531113
structure,linear,plus_gatr,942,450.0,0.1,angular_arrangement,18952,0.3149824384938075,0.6903348653220536
structure,linear,plus_gatr,970,500.0,0.1,q4,20747,0.2875398854594644,0.4714557417719975
structure,linear,plus_gatr,970,500.0,0.1,q6,20747,0.07541800072651747,0.2592551341450374
structure,linear,plus_gatr,970,500.0,0.1,w4,20747,0.3038750786547919,0.5211441605080807
structure,linear,plus_gatr,970,500.0,0.1,w6,20747,0.204560054574343,0.44411739938881173
structure,linear,plus_gatr,970,500.0,0.1,qbar6,20747,0.047565439654031524,0.11966572327426174
structure,linear,plus_gatr,970,500.0,0.1,q6_coherence,20747,0.049451791707828575,0.13732672809140983
structure,linear,plus_gatr,970,500.0,0.1,bond_order,20747,0.16140170846282947,0.36320190828173043
structure,linear,plus_gatr,970,500.0,0.1,angular_arrangement,20747,0.32663539604748826,0.6968514217406444
structure,linear,plus_gatr,971,500.0,0.1,q4,10619,0.8530301636029429,0.9008294576495057
structure,linear,plus_gatr,971,500.0,0.1,q6,10619,0.17776091043635683,0.4132977630305768
structure,linear,plus_gatr,971,500.0,0.1,w4,10619,0.8680338339898678,0.9274178498987655
structure,linear,plus_gatr,971,500.0,0.1,w6,10619,0.5333596661008113,0.72640308493721
structure,linear,plus_gatr,971,500.0,0.1,qbar6,10619,0.10022488593860354,0.2603825747723752
structure,linear,plus_gatr,971,500.0,0.1,q6_coherence,10619,0.10639385339430696,0.2694443008106143
structure,linear,plus_gatr,971,500.0,0.1,bond_order,10619,0.43980055224381487,0.646847918666196
structure,linear,plus_gatr,971,500.0,0.1,angular_arrangement,10619,0.527899274123747,0.8297429856149184
structure,linear,plus_gatr,1000,510.0,0.1,q4,7473,1.86309823059563,1.3694532009823093
structure,linear,plus_gatr,1000,510.0,0.1,q6,7473,0.35017763736782404,0.5814350908456233
structure,linear,plus_gatr,1000,510.0,0.1,w4,7473,2.2207987406731764,1.485107729828026
structure,linear,plus_gatr,1000,510.0,0.1,w6,7473,1.3333690637970326,1.1487602659941378
