task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
future,linear,crystallize_24ps,current_order,current_order_plus_gatr,10,17674,0.38112206125942016,0.05278932740887532,0.7756493122054923,0.05486616863303555,0.054657061560207255
future,linear,crystallize_24ps,current_order_radial_duplicate,current_order_plus_gatr,10,17674,0.04943116922511148,-0.06243968014960354,0.14677369839618537,0.05468409254653315,0.054657061560207255
future,linear,crystallize_48ps,radial,radial_control,10,17674,-3.13108042231105,-6.774808773101149,-0.07227951412185352,0.10928854732655757,0.11271045963572757
future,linear,crystallize_48ps,radial_control,plus_radial_duplicate,10,17674,0.3390089793062212,-0.25301367033427447,1.0150044373898992,0.11271045963572757,0.11232836105694513
future,linear,crystallize_48ps,radial_control,plus_gatr,10,17674,0.3411680892515534,-0.2535772016085014,1.0193897373133698,0.11271045963572757,0.11232592751420171
future,linear,crystallize_48ps,radial_control,plus_angular_delta,10,17674,0.3297459019013571,-0.23741675459579004,0.9703821323132744,0.11271045963572757,0.11233880151406457
future,linear,crystallize_48ps,radial_control,plus_mace,10,17674,0.7166510142008864,0.11829204524804737,1.3159915178597936,0.11271045963572757,0.11190271898363764
future,linear,crystallize_48ps,radial_control,plus_soap,10,17674,2.3342484287513066,0.19622702125514646,4.39572082022186,0.11271045963572757,0.11007951750264222
future,linear,crystallize_48ps,radial_control,plus_tda,10,17674,0.6928849666922643,0.03336683088051018,1.340857585044486,0.11271045963572757,0.11192950580502185
future,linear,crystallize_48ps,radial_control,current_order,10,17674,-0.2214367533520889,-0.3548261420417642,-0.0937274027863077,0.11271045963572757,0.11296004201823315
future,linear,crystallize_48ps,plus_radial_duplicate,plus_gatr,10,17674,0.0021664544203381375,-0.0006931221167905122,0.004871800235528578,0.11232836105694513,0.11232592751420171
future,linear,crystallize_48ps,plus_radial_duplicate,plus_angular_delta,10,17674,-0.009294586889008194,-0.09833935608571931,0.07300924013879939,0.11232836105694513,0.11233880151406457
future,linear,crystallize_48ps,current_order,current_order_radial_duplicate,10,17674,0.575205940045298,0.1547064178459956,1.0380412463827868,0.11296004201823315,0.1123102891466666
future,linear,crystallize_48ps,current_order,current_order_plus_gatr,10,17674,0.5757801353018732,0.20739888934309114,0.9858152356492345,0.11296004201823315,0.11230964053546351
future,linear,crystallize_48ps,current_order_radial_duplicate,current_order_plus_gatr,10,17674,0.00057751716964205,-0.06535320633331843,0.05755305390758858,0.1123102891466666,0.11230964053546351
future,linear,crystallize_96ps,radial,radial_control,10,17674,0.641541808973245,0.016362721896134858,1.1811136443656611,0.20829374885439647,0.20695745737001778
future,linear,crystallize_96ps,radial_control,plus_radial_duplicate,10,17674,0.23260083101790396,-0.8479824400066338,1.2882376450857846,0.20695745737001778,0.2064760726043216
future,linear,crystallize_96ps,radial_control,plus_gatr,10,17674,0.23443066755514108,-0.8475305085650531,1.2913159755620514,0.20695745737001778,0.2064722856211501
future,linear,crystallize_96ps,radial_control,plus_angular_delta,10,17674,0.5696207996013891,-0.3946301360268878,1.5474028808684228,0.20695745737001778,0.20577858464651197
future,linear,crystallize_96ps,radial_control,plus_mace,10,17674,0.1544648405894744,-0.5561443400682986,0.8530863091574978,0.20695745737001778,0.20663778086340315
future,linear,crystallize_96ps,radial_control,plus_soap,10,17674,1.7376308455145817,-2.006021353304255,5.416712831959251,0.20695745737001778,0.20336130075366365
future,linear,crystallize_96ps,radial_control,plus_tda,10,17674,0.9643507550740504,-0.26220621591397375,2.16282995363794,0.20695745737001778,0.20496166156718795
future,linear,crystallize_96ps,radial_control,current_order,10,17674,-0.20750653816783426,-0.4130454491277219,0.023258390504110604,0.20695745737001778,0.20738690762528647
future,linear,crystallize_96ps,plus_radial_duplicate,plus_gatr,10,17674,0.0018341026753021517,0.000464870691143926,0.003112300357832609,0.2064760726043216,0.2064722856211501
future,linear,crystallize_96ps,plus_radial_duplicate,plus_angular_delta,10,17674,0.3378057074662877,-0.02254731624586892,0.7093841875136953,0.2064760726043216,0.20577858464651197
