variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
D,nonlinear,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5953782430302133,0.8446097685225016,17
D,nonlinear,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5732686816988622,0.7956206722258061,17
D,nonlinear,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5963467272678755,0.8506334349713924,17
D,state_constant,all,encoder,future/0.75ps/block_mean,1,0.4125213571927614,0.3713559686133845,0.45350628230255086,30
D,state_constant,all,encoder,future/3ps/block_mean,1,0.4458483940404322,0.40269121060820506,0.49114954173616654,30
D,state_constant,all,encoder,future/9ps/block_mean,1,0.44422161713656455,0.39771510910242797,0.4970771769320385,30
D,state_constant,all,encoder,present/block_mean,1,0.34599861970378293,0.30973098248553776,0.3833724829994348,30
D,state_constant,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8194269770671466,0.7413570784647199,0.9006947990294926,30
D,state_constant,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5742310134290407,0.7450705478443866,30
D,state_constant,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6227301534570546,0.7621360709642371,30
D,state_constant,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.646119247258175,0.8179455662293669,30
D,state_constant,low_order,encoder,future/0.75ps/block_mean,1,0.45017003037912,0.3737596866309496,0.534690917364559,17
D,state_constant,low_order,encoder,future/3ps/block_mean,1,0.44063756914407604,0.38218166634769124,0.5049740300093795,17
D,state_constant,low_order,encoder,future/9ps/block_mean,1,0.4015854851653179,0.33327661949830745,0.4724234316927179,17
D,state_constant,low_order,encoder,present/block_mean,1,0.36166416473832785,0.30844773464452696,0.42253380971138965,17
D,state_constant,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9870408335013083,0.9274354385974494,1.0490461266949025,16
D,state_constant,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5962225249968468,0.8385937063626068,17
D,state_constant,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5692961470972674,0.8039110871689283,17
D,state_constant,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.6009264279832588,0.8516916732682717,17
D,state_history,all,encoder,future/0.75ps/block_mean,1,0.41799313535706867,0.37420239082330625,0.46335946694171676,30
D,state_history,all,encoder,future/3ps/block_mean,1,0.45298716187891036,0.407800635962954,0.502192793099934,30
D,state_history,all,encoder,future/9ps/block_mean,1,0.44327394862969716,0.39288708242122083,0.4935385826374921,30
D,state_history,all,encoder,present/block_mean,1,0.27442467531396286,0.2516131979625465,0.2980911762225958,30
D,state_history,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8194269770671466,0.7367547860107575,0.8981315319139924,30
