method,source,temperature_K,lag_ps,displacement2
soap,1009,520.0,48.0,0.5150405744353703
soap,1009,520.0,96.0,0.639764396040614
soap,1009,520.0,192.0,0.9071743022949101
tda,911,400.0,0.75,0.12099165334556254
tda,911,400.0,1.5,0.1258684341557735
tda,911,400.0,3.0,0.1273094772685945
tda,911,400.0,6.0,0.13539662900604904
tda,911,400.0,12.0,0.15025419236770574
tda,911,400.0,24.0,0.19074391080997913
tda,911,400.0,48.0,0.28510242748957326
tda,911,400.0,96.0,0.5032253733084607
tda,911,400.0,192.0,0.907334852526684
tda,913,400.0,0.75,0.11938635371964669
tda,913,400.0,1.5,0.12534193338271785
tda,913,400.0,3.0,0.1293755980117062
tda,913,400.0,6.0,0.13886497353332003
tda,913,400.0,12.0,0.1656207855719911
tda,913,400.0,24.0,0.22668884228410813
tda,913,400.0,48.0,0.3611425480858876
tda,913,400.0,96.0,0.620893056004058
tda,913,400.0,192.0,0.7831255044640565
tda,938,450.0,0.75,0.13099155379916783
tda,938,450.0,1.5,0.13849656295331775
tda,938,450.0,3.0,0.1397773142173143
tda,938,450.0,6.0,0.14296085941933329
tda,938,450.0,12.0,0.15698947348914483
tda,938,450.0,24.0,0.1910893273794007
tda,938,450.0,48.0,0.2634958925195099
tda,938,450.0,96.0,0.45529716389161784
tda,938,450.0,192.0,0.8579692338803027
tda,942,450.0,0.75,0.13487458586228726
tda,942,450.0,1.5,0.1355025050333825
tda,942,450.0,3.0,0.14260336153232472
tda,942,450.0,6.0,0.15044526208396183
tda,942,450.0,12.0,0.17349909506088487
tda,942,450.0,24.0,0.23034625480030574
tda,942,450.0,48.0,0.33488489805981075
tda,942,450.0,96.0,0.5359132763822743
tda,942,450.0,192.0,0.9861495671913324
tda,970,500.0,0.75,0.14257015440709275
tda,970,500.0,1.5,0.14434806530005245
tda,970,500.0,3.0,0.1467326581808994
tda,970,500.0,6.0,0.15525508989764633
tda,970,500.0,12.0,0.1837567475913096
tda,970,500.0,24.0,0.23908828463739754
tda,970,500.0,48.0,0.3644241980001992
tda,970,500.0,96.0,0.6313623575638465
tda,970,500.0,192.0,1.1504981113600385
tda,971,500.0,0.75,0.14125630629665073
tda,971,500.0,1.5,0.14539472163670375
tda,971,500.0,3.0,0.1500885418246911
tda,971,500.0,6.0,0.15703488609421612
tda,971,500.0,12.0,0.1675592837338847
tda,971,500.0,24.0,0.19203638334387432
tda,971,500.0,48.0,0.2577362332177017
tda,971,500.0,96.0,0.42837958082034466
tda,971,500.0,192.0,0.94635005963359
tda,1000,510.0,0.75,0.14645811040942006
tda,1000,510.0,1.5,0.15025962736002377
tda,1000,510.0,3.0,0.1560611964039318
tda,1000,510.0,6.0,0.16055450001367486
