left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,B,all,delta/0.75ps/bond_order,3,0.002136336266994476,0.0011965306010097263,0.003167578839800424,30
state_history,state_constant,B,all,delta/0.75ps/instantaneous_TDA_H0,3,-0.002164510637521744,-0.003439407334145572,-0.0008912844190167067,30
state_history,state_constant,B,all,delta/0.75ps/instantaneous_TDA_H1,3,0.0015529154075516595,0.0009575272910296917,0.0022497113545735677,30
state_history,state_constant,B,all,delta/0.75ps/instantaneous_TDA_H2,3,0.0017165895137521957,0.0009923858381807804,0.0025036214333441515,30
state_history,state_constant,B,all,delta/0.75ps/motion_even,3,-0.008755783240000405,-0.013117420739597744,-0.004632833550373715,30
state_history,state_constant,B,all,delta/0.75ps/motion_odd,3,0.006466951966285705,-0.002903584871027205,0.016500078928139473,30
state_history,state_constant,B,all,delta/3ps/block_mean,3,0.0003828572178328529,-0.0023622868210077205,0.003107724716817896,30
state_history,state_constant,B,all,delta/3ps/bond_order,3,0.0019281604223781162,-0.0003318939523564444,0.004185968312538332,30
state_history,state_constant,B,all,delta/3ps/instantaneous_TDA_H0,3,-0.0014826579226387875,-0.003408764431046115,0.00046666924738221634,30
state_history,state_constant,B,all,delta/3ps/instantaneous_TDA_H1,3,0.0014703523781564498,0.0005921574681997299,0.002357928963998953,30
state_history,state_constant,B,all,delta/3ps/instantaneous_TDA_H2,3,0.0016865824659665427,0.0009492031277881729,0.0024129074770543302,30
state_history,state_constant,B,all,delta/3ps/motion_even,3,-0.016939972506629097,-0.026017563243707024,-0.008248963869280285,30
state_history,state_constant,B,all,delta/3ps/motion_odd,3,0.015634678469763862,0.00046494103140301264,0.030033577548132993,30
state_history,state_constant,B,all,delta/9ps/block_mean,3,0.001741140435829207,-0.001166646716581586,0.004553765122589005,30
state_history,state_constant,B,all,delta/9ps/bond_order,3,0.0029305793551935087,0.0009699686539048952,0.005200430212749375,30
state_history,state_constant,B,all,delta/9ps/instantaneous_TDA_H0,3,-0.0007378612955411274,-0.0028759667608473033,0.0016015001758933048,30
state_history,state_constant,B,all,delta/9ps/instantaneous_TDA_H1,3,0.0011717967689037323,0.0003118848076297177,0.002091764414476024,30
state_history,state_constant,B,all,delta/9ps/instantaneous_TDA_H2,3,0.0017435616089238062,0.00046442158934142854,0.0030052949902084135,30
state_history,state_constant,B,all,delta/9ps/motion_even,3,-0.015758820374806724,-0.021860733131567636,-0.009472414387596982,30
state_history,state_constant,B,all,delta/9ps/motion_odd,3,0.021097586552302046,0.005980217572715549,0.03608585852715702,30
state_history,state_constant,B,all,future/0.75ps/block_mean,3,-0.00046630220970621695,-0.004942247420894325,0.004383331719027064,30
state_history,state_constant,B,all,future/0.75ps/bond_order,3,-0.006592142168018553,-0.010679835056265196,-0.0022763775496019295,30
state_history,state_constant,B,all,future/0.75ps/instantaneous_TDA_H0,3,-0.0027329555816120576,-0.004060183119856648,-0.0014112409204244615,30
