model,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95,method,block,mse
linear-packet_H3,test,3,44385,30,0.00884508151496356,0.03388189978768681,0.007793361773565885,0.2279311934534926,0.0335935615003109,0.6699750988435075,0.049095240091412036,0.1085604134251028,"[0.027310194062988003, 0.041333733958739675]","[0.006133381950026998, 0.009648444450602341]",,,
linear-packet_H3,selection,9,20881,15,0.03277230679889552,0.1154701303008662,0.02880542366001877,0.24972377579025573,0.11940898001194,0.4867286030085497,0.0610877136872369,0.21257819830651287,,,,,
linear-packet_H3,calibration,9,16584,15,0.04785316738960783,0.14406845675996724,0.03813721335674799,0.33659606452456736,0.11940898001194,0.4736160287165327,0.049934303127053756,0.32280885081170413,,,,,
linear-packet_H3,test,9,44385,30,0.03124302427652125,0.10702070332630759,0.02603610926673346,0.2812839911900537,0.11940898001194,0.48361726439038655,0.05425579039414227,0.22328343008987572,"[0.08850383917340994, 0.12780002864072515]","[0.0206999572993891, 0.03197826428697825]",,,
linear-packet_H3,selection,24,20881,15,0.09697707537936248,0.28019146520465477,0.08071093038569864,0.2872469774576569,0.2678852379322052,0.3379962881660692,0.07701240567794823,0.3203410466967811,,,,,
linear-packet_H3,calibration,24,16584,15,0.13707065020025577,0.34355826657211924,0.10336702070661528,0.37641111868027605,0.2678852379322052,0.2891557596600473,0.049995546651329,0.4788115059505882,,,,,
linear-packet_H3,test,24,44385,30,0.09117904843080059,0.27804076026983887,0.07700290181774037,0.28546555056961764,0.2678852379322052,0.3282654956109707,0.07568547443885973,0.3032040708765451,"[0.24312513466122268, 0.3152992115057401]","[0.06430098469765012, 0.09005035209975348]",,,
linear-packet_H3,selection,48,20881,15,0.196435182435432,0.45210839738987074,0.1459842322787416,0.37828421714004534,0.44443029165267944,0.2660860209191646,0.0894969366517922,0.4208926414333988,,,,,
linear-packet_H3,calibration,48,16584,15,0.278634105156337,0.5349193858992596,0.17911834854822722,0.4855409101323935,0.44443029165267944,0.21085417746746088,0.049933593414640674,0.6199240290833631,,,,,
linear-packet_H3,test,48,44385,30,0.18840006848320312,0.47848960848354927,0.15408008086703134,0.32557437918858956,0.44443029165267944,0.24722779903470882,0.09888460768364594,0.3672382348043186,"[0.4347771977251857, 0.5213204921453712]","[0.13584238649917182, 0.17202855888263488]",,,
linear-packet_H3,selection,96,20881,15,0.3646435880571329,0.6138793819188398,0.21358251736912873,0.5404292401259465,0.7125473618507385,0.19934653764840138,0.07977933406983405,0.5891649722284603,,,,,
